SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
514484,THAMBI MOD. ,X ,Q,6.86,7.58,6.86,6.86,6.86,7.22,3,300,2130.00,
515008,MOD.INSUL.  ,XT,Q,59.90,59.90,56.85,56.85,56.85,59.80,75,14831,845882.00,
515030,ASAHI IN.GLA,A ,Q,283.00,291.50,281.10,290.85,291.50,282.95,292,5496,1585522.00,
515037,MURD.CERAM  ,B ,Q,21.60,22.40,21.50,21.75,21.75,22.25,78,11221,243844.00,
515043,SAINT-GOBAIN,X ,Q,66.35,67.00,66.05,66.70,66.50,66.35,262,30045,2000768.00,
515055,ANANTRAJ    ,B ,Q,43.00,44.70,41.30,42.95,42.95,43.35,367,58359,2490761.00,
515059,MADHUS.IND. ,X ,Q,11.26,11.26,11.26,11.26,11.26,10.73,5,1325,14919.00,
515085,RESTILE CER.,X ,Q,2.95,2.95,2.72,2.72,2.72,2.86,7,2910,8270.00,
515093,MADHAV MARB.,B ,Q,54.55,55.00,53.50,54.95,54.95,54.60,41,2353,128731.00,
515127,RAMASIGNS   ,X ,Q,2.11,2.27,2.11,2.27,2.27,2.17,9,4140,9157.00,
515145,HIND.NAT.GLS,B ,Q,28.30,28.90,27.90,28.00,28.00,28.00,1323,16204,456023.00,
515147,HALDYN GLASS,X ,Q,31.95,31.95,31.10,31.40,31.10,31.60,144,14983,471555.00,
516003,DUROPLY     ,X ,Q,73.95,74.35,67.30,69.05,68.00,74.00,151,17806,1242569.00,
516007,MANGALAM TIM,B ,Q,12.50,12.96,11.74,11.79,11.79,12.35,120,17457,212197.00,
516016,SHREYANS IND,B ,Q,78.20,80.00,78.20,78.50,78.50,78.95,80,2564,202844.00,
516020,AGIO PAPER  ,XT,Q,2.88,2.88,2.88,2.88,2.88,2.75,11,3426,9866.00,
516022,STAR PAPER  ,B ,Q,111.00,115.25,110.10,114.10,114.10,107.90,384,22518,2555603.00,
516030,YASHPAKKA   ,X ,Q,83.80,86.25,78.95,85.25,86.00,82.15,1042,221538,18388713.00,
516032,SARDA PAPERS,XT,Q,4.85,4.85,4.85,4.85,4.85,5.04,5,1302,6314.00,
516064,ARROWGREEN  ,B ,Q,62.40,62.90,60.25,62.25,62.90,61.35,32,716,43849.00,
516072,VISHNU CHEM ,B ,Q,177.50,182.15,176.60,180.15,181.45,179.40,71,2601,461918.00,
516078,JUMBO BAG   ,Z ,Q,8.50,9.30,8.50,8.50,8.50,8.90,6,1083,9390.00,
516082,N.R.AGARWAL ,B ,Q,222.35,227.70,218.35,219.45,218.35,224.05,164,2228,497317.00,
516092,3PLAND      ,B ,Q,8.88,8.88,8.88,8.88,8.88,9.01,1,5,44.00,
516096,SANGAL PAPER,XT,Q,74.50,74.60,73.25,74.05,73.25,74.25,12,1318,98178.00,
516106,SH.KARTHIK P,X ,Q,3.42,3.42,3.42,3.42,3.42,3.59,5,1114,3809.00,
516108,S.I.PAPER   ,X ,Q,81.00,81.00,77.10,78.25,78.00,80.95,88,7415,586667.00,
516110,SCANDENT    ,XT,Q,16.00,16.00,16.00,16.00,16.00,15.96,11,414,6624.00,
517015,VINDHYA TELE,A ,Q,835.00,843.00,829.00,837.55,837.55,829.30,84,475,397125.00,
517035,RUTTONSHA IN,X ,Q,37.50,38.40,37.50,37.60,37.60,36.40,8,1418,54177.00,
517041,ADORWELDING ,B ,Q,303.60,306.95,296.60,300.05,296.65,302.95,76,639,193261.00,
517044,INT.DATA MAN,XT,Q,4.98,4.98,4.98,4.98,4.98,4.75,1,10,49.00,
517059,SALZER ELEC ,B ,Q,121.45,122.75,118.25,118.50,118.25,119.35,76,1335,160468.00,
517063,JETINFOTRAN ,X ,Q,37.50,39.60,35.20,39.45,39.45,36.75,33,7086,272367.00,
517096,APLAB LTD.  ,X ,Q,21.90,21.90,19.55,20.95,20.95,20.20,18,3846,80499.00,
517119,PCS TECH    ,X ,Q,5.16,5.16,4.97,5.11,5.11,5.16,12,3375,17254.00,
517146,USHA MART.LT,A ,Q,30.75,31.75,30.75,30.95,30.95,30.65,141,33510,1044146.00,
517166,SPEL SEMICON,XT,Q,13.87,14.14,12.80,13.73,13.94,13.47,103,31951,439293.00,
517168,SUBROS LTD. ,A ,Q,325.00,330.30,318.60,320.00,322.30,324.65,334,5289,1701277.00,
517170,KLKELEC     ,XT,Q,12.50,12.50,12.50,12.50,12.50,12.50,1,10000,125000.00,
517174,HONEYWELL   ,A ,Q,42978.85,42978.85,41450.00,41714.75,41576.35,42284.50,151,213,8982485.00,
517206,LUMAX IND   ,B ,Q,1390.00,1426.25,1384.10,1415.80,1411.20,1404.90,182,1106,1560186.00,
517214,DIGISPICE   ,T ,Q,57.90,57.90,52.40,57.90,57.90,55.15,861,147686,8087820.00,
517230,PREM.AU.ELEC,Z ,Q,2.48,2.48,2.48,2.48,2.48,2.37,14,49294,122249.00,
517236,CALCOM VISIO,XT,Q,19.90,21.80,19.90,20.30,20.25,20.80,11,856,17400.00,
517238,DYNAVISION  ,XT,Q,56.15,58.50,56.15,58.50,58.50,56.00,7,238,13603.00,
517246,BCC FUBA    ,XT,Q,12.10,12.18,11.02,12.13,12.13,11.60,17,7925,94101.00,
517264,FINELINE CI ,X ,Q,16.65,17.45,16.65,17.45,17.45,16.65,4,225,3771.00,
517271,HBL P SYS   ,B ,Q,35.50,35.90,35.00,35.60,35.50,34.85,247,43713,1553449.00,
517273,S&S POWER SW,T ,Q,15.60,15.60,14.21,15.40,15.40,14.90,11,791,12077.00,
517288,GUJARATPOLY ,X ,Q,6.85,7.15,6.85,7.15,7.15,7.15,4,145,1027.00,
517300,GUJ.IND.POW.,A ,Q,77.10,77.50,76.30,77.00,77.00,77.20,268,18881,1453781.00,
517330,CMI LTD.    ,B ,Q,44.20,46.70,44.10,45.85,45.85,44.00,316,32907,1506801.00,
517334,MOTHERSON SS,A ,Q,174.30,183.50,172.65,179.20,179.20,174.30,23486,3315078,591815633.00,
517344,MINDTECK (I),B ,Q,47.00,47.10,45.35,46.95,47.10,44.90,114,6089,282881.00,
517354,HAVELLSINDIA,A ,Q,1140.65,1158.50,1134.00,1155.10,1152.25,1139.15,2314,61259,70305234.00,
517356,ACI INFOCOM ,X ,Q,0.29,0.30,0.29,0.30,0.30,0.30,19,442593,132765.00,
517370,INCAP LTD.  ,XT,Q,22.15,23.40,21.85,22.10,23.40,23.00,15,1266,27963.00,
517372,GUJ.INTRUX  ,X ,Q,103.40,104.40,100.10,101.25,100.55,104.00,18,913,93704.00,
517380,IGARSHI MOT ,A ,Q,331.25,334.20,328.00,328.20,328.20,327.80,221,2880,952371.00,
517385,SYMPHONY    ,A ,Q,1066.00,1071.95,1047.80,1064.90,1064.90,1036.45,1191,8507,9012990.00,
517393,VINTRON INF.,X ,Q,0.63,0.63,0.57,0.63,0.63,0.60,13,17159,10797.00,
517399,VXL INSTRUM.,X ,Q,2.23,2.44,2.23,2.44,2.44,2.33,5,1675,3955.00,
517411,SHYAM TELEC.,B ,Q,5.70,6.06,5.70,5.88,5.75,5.74,8,3365,19564.00,
517415,LEE&NEE SOFT,XT,Q,2.12,2.12,2.12,2.12,2.12,2.23,1,1,2.00,
517417,PATEL AIRTEM,X ,Q,166.00,167.00,151.15,152.90,152.90,166.70,1504,74169,11638780.00,
517421,BFLYGANDHI  ,B ,Q,578.35,634.90,573.95,627.35,627.35,573.00,1408,19462,11977481.00,
517429,ATHENAGLO   ,XT,Q,42.00,42.00,39.55,39.60,39.55,41.60,156,15303,625503.00,
517437,DUTRON POLY.,XT,Q,146.60,146.60,139.05,140.65,140.65,139.65,4,367,53700.00,
517447,R.S.SOFTWARE,B ,Q,25.65,26.75,25.60,25.95,25.95,25.80,65,3790,98711.00,
517449,MAGNA ELECTR,X ,Q,168.35,174.20,168.00,170.00,170.00,168.35,13,126,21209.00,
517467,MARSONS     ,Z ,Q,7.52,7.53,7.22,7.53,7.53,7.59,13,1515,11245.00,
517477,ELNET TECH. ,X ,Q,130.00,135.80,129.00,131.70,132.45,130.45,88,3122,412850.00,
517494,ACCEL       ,X ,Q,12.95,14.90,12.01,13.99,13.99,12.44,419,148020,2046955.00,
517498,WEBELSOLAR  ,B ,Q,38.40,38.40,37.15,37.60,37.60,38.15,119,9473,357408.00,
517500,ROTO PUMPS  ,X ,Q,145.50,146.90,140.30,140.70,140.70,142.80,908,63594,9133882.00,
517506,TTK PRESTIGE,A ,Q,6880.00,7390.00,6517.00,7254.20,7254.20,6951.35,5025,19187,134316781.00,
517514,DHINDIA     ,X ,Q,14.60,15.25,14.50,15.25,15.25,14.60,12,3601,54034.00,
517522,RAJ GLO WIR ,B ,Q,568.95,574.60,542.00,560.20,557.50,568.75,533,8508,4730024.00,
517530,SURANATP    ,B ,Q,4.95,4.96,4.69,4.74,4.73,4.73,49,12554,59280.00,
517536,ONWARD TECHN,B ,Q,99.65,104.80,98.30,100.30,99.00,99.75,349,10750,1086197.00,
517544,CENTUM ELEC ,B ,Q,424.35,427.00,413.60,418.95,418.95,438.20,452,5439,2290939.00,
517546,ALFA TRANSFO,X ,Q,13.88,14.50,13.88,14.50,14.50,14.61,8,1477,20611.00,
517548,STARLITE COM,Z ,Q,2.87,2.87,2.64,2.64,2.64,2.74,3,248,654.00,
517554,NHCFOODS    ,X ,Q,5.77,5.77,5.52,5.77,5.77,5.50,13,3438,19412.00,
517562,TRIGYN TECH ,B ,Q,74.90,75.45,73.50,73.90,74.55,75.10,156,11011,819128.00,
517569,KEI INDUST. ,A ,Q,499.00,499.00,494.45,495.25,495.85,498.85,313,2471,1225800.00,
517571,IMPPOWERS   ,B ,Q,16.35,17.50,16.35,16.65,16.60,17.80,29,1573,26105.00,
518011,KEERTHI     ,Z ,Q,123.00,123.50,115.00,115.70,115.00,121.05,67,3714,433005.00,
518029,GUJ.SIDH.CEM,B ,Q,37.65,37.65,36.65,37.10,37.10,37.45,193,34057,1258056.00,
518075,SURAJ PRODUC,Z ,Q,33.60,33.60,33.50,33.50,33.50,32.00,5,160,5370.00,
518091,ANJANI PORTL,B ,Q,214.25,219.30,214.00,215.10,215.00,214.25,148,2862,622092.00,
519003,MODINATURAL ,X ,Q,72.50,72.50,67.30,68.60,68.60,72.35,34,3678,254790.00,
519091,TASTY BITE  ,A ,Q,13200.00,14250.00,12885.00,13807.45,13810.00,13143.55,473,761,10479432.00,
519097,RITESH INTER,XT,Q,13.33,13.33,13.33,13.33,13.33,12.70,6,585,7798.00,
519105,AVT NATURAL ,B ,Q,48.00,48.00,47.00,47.05,47.15,47.15,112,13185,623054.00,
519126,HIND.FOODS  ,B ,Q,1750.05,1878.55,1750.05,1878.55,1878.55,1707.80,2175,11210,20619853.00,
519136,NAHAR INDUST,B ,Q,44.80,45.30,42.25,45.25,45.25,43.15,15,467,21148.00,
519152,VADILAL ENT ,XT,Q,1700.00,1700.00,1700.00,1700.00,1700.00,1700.00,4,44,74800.00,
519156,VADILAL IND ,B ,Q,819.50,822.00,795.20,799.40,820.00,809.15,270,5469,4430470.00,
519174,ASHIANA AGRO,XT,Q,5.56,5.56,5.56,5.56,5.56,5.30,6,518,2880.00,
519183,ADF FOODS LT,A ,Q,720.00,752.55,717.85,731.25,731.25,716.35,806,7269,5358841.00,
519191,RGRL        ,X ,Q,22.00,23.00,22.00,23.00,23.00,23.00,42,18329,404488.00,
519214,WILLIAM.FIN.,X ,Q,3.24,3.24,3.24,3.24,3.24,3.24,3,500,1620.00,
519216,AJANTA SOYA ,X ,Q,65.00,70.00,65.00,69.30,69.30,66.55,112,11994,819719.00,
519224,WILLIAM.MAGO,B ,Q,23.60,23.95,22.00,23.55,23.50,23.10,87,9709,226818.00,
519260,SANWARIA    ,Z ,Q,0.98,1.00,0.95,0.95,0.95,1.00,1635,4366711,4190128.00,
519262,PRIMA AGRO L,XT,Q,17.20,17.20,15.58,17.20,17.20,16.39,38,11179,191766.00,
519285,TARAI FOODS ,XT,Q,5.05,5.09,4.99,4.99,4.99,4.86,5,326,1640.00,
519287,MODERN DAIRI,X ,Q,9.15,9.55,9.15,9.55,9.55,9.10,61,38482,366772.00,
