Date,Open,High,Low,Close,% Return,% YTD
2014-11-14,10708.56,10766.21,10700.98,10751.96,0.46175954493044014,79.23141455139341
2014-11-17,10749.74,10821.67,10727.13,10812.8,0.5658503193836317,78.22293947913586
2014-11-18,10824.81,10871.64,10810.83,10831.07,0.1689664101805377,77.92231053810934
2014-11-19,10845.52,10874.99,10739.55,10771.32,-0.5516537147299383,78.90927017301502
2014-11-20,10797.03,10801.52,10724.41,10782.89,0.10741487579981612,78.71730120589193
2014-11-21,10803.55,10879.08,10792.6,10849.39,0.6167177815965763,77.62187551558199
2014-11-24,10882.07,10919.22,10867.88,10894.8,0.41854887694146026,76.88153981716049
2014-11-25,10902.04,10908.58,10737.69,10787.55,-0.9844145831038653,78.64009900301738
2014-11-26,10780.23,10845.32,10767.11,10813.44,0.23999888760655175,78.21239124644886
2014-11-27,10817.55,10858.56,10807.08,10842.27,0.26661265980114646,77.73851785650052
2014-11-28,10865.28,10997.43,10864.05,10956.16,1.050425787219833,75.89091433494947
2014-12-01,10978.89,11005.87,10921.76,10927.82,-0.258667270284485,76.34706647803495
2014-12-02,10916.32,10952.18,10875.64,10927.48,-0.003111325040128232,76.35255337918716
2014-12-03,10941.95,11004.76,10938.74,10985.7,0.5327852350221818,75.41795242906686
2014-12-04,11037.02,11089.32,10980.78,11024.46,0.35282230536060055,74.80121475337569
2014-12-05,11038.69,11068.6,10973.15,10989.6,-0.31620596382950783,75.3556999344835
2014-12-08,10987.1,11012.8,10860.55,10868.29,-1.1038618330057481,77.312990360029
2014-12-09,10871.04,10882.82,10714.87,10726.86,-1.3013086695331078,79.65080181898523
2014-12-10,10708.36,10794.49,10707.7,10773.21,0.43209289577750276,78.87788319358854
2014-12-11,10768.99,10771.31,10667.22,10691.51,-0.7583626421465706,80.24479236328636
2014-12-12,10706.09,10739.68,10581.59,10590.69,-0.9429912145244135,81.9606654523926
2014-12-15,10529.04,10599.79,10513.24,10565.02,-0.24238269650042055,82.40277822474542
2014-12-16,10522.97,10531.39,10320.68,10338.63,-2.1428260429227852,86.39694040699783
2014-12-17,10322.58,10357.67,10154.4,10287.09,-0.4985186625307114,87.33081950289147
