SC_CODE,SC_NAME,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open,Deliverable Quantity,% Deli. Qty to Traded Qty
500165,KANSAI NERO ,596.0,596.0,577.25,579.85,582.6964783641433,9683,755,5642250.0,18.75,-16.149999999999977,6906,47.88
500166,GOODRICKE   ,231.35,239.95,231.0,232.25,233.44696426549942,26501,406,6186578.0,8.949999999999989,0.9000000000000057,8054,84.29
500168,GOODYEAR (I),976.7,1003.15,976.7,999.35,997.4958721989922,9327,873,9303644.0,26.449999999999932,22.649999999999977,4047,56.78
500170,GTN INDUS   ,10.86,11.83,10.86,11.83,10.88888888888889,324,4,3528.0,0.9700000000000006,0.9700000000000006,211,100.0
500171,GHCL LTD    ,212.15,213.0,203.85,208.35,208.64987382840664,11096,305,2315179.0,9.150000000000006,-3.8000000000000114,6413,67.78
500173,GFLLIMITED  ,86.0,92.1,83.7,87.5,86.12640332640332,7215,241,621402.0,8.399999999999991,1.5,6814,77.93
500174,GUJ.LEASE   ,2.5,2.5,2.5,2.5,2.499526066350711,1055,4,2637.0,0.0,0.0,13231,85.14
500179,HCL INFOSYS ,9.2,9.31,8.73,8.92,8.874083424340846,141014,248,1251370.0,0.5800000000000001,-0.27999999999999936,121126,63.92
500180,HDFC BANK   ,1578.7,1594.95,1565.0,1572.4,1577.0189265113197,253454,9791,399701755.0,29.950000000000045,-6.2999999999999545,50614,26.28
500182,HEROMOTOCO  ,3532.0,3552.65,3473.55,3541.15,3522.1002890426557,34251,3529,120635457.0,79.09999999999991,9.150000000000091,2752,16.04
500183,HFCL        ,28.15,28.6,27.75,28.1,28.24131269087604,727239,1952,20538184.0,0.8500000000000014,-0.04999999999999716,294193,28.56
500184,HSCL        ,45.15,45.4,44.7,44.95,45.035501685184606,288099,976,12974683.0,0.6999999999999957,-0.19999999999999574,95857,36.52
500185,HIND.CONSTN.,8.2,8.84,8.2,8.61,8.546746613368866,576384,559,4926208.0,0.6400000000000006,0.41000000000000014,183114,62.71
500186,HIND.OIL EXP,84.65,85.5,84.1,84.4,84.75027006417996,15737,228,1333715.0,1.4000000000000057,-0.25,5226,32.96
500187,HSIL        ,177.0,187.0,176.9,184.95,184.24146889172647,45422,1011,8368616.0,10.099999999999994,7.949999999999989,56311,41.7
500188,HINDUS.ZI   ,295.6,300.5,295.6,296.95,297.3267330027622,90147,2396,26803113.0,4.899999999999977,1.349999999999966,25909,45.53
500189,NXTDIGITAL  ,516.6,527.0,512.55,524.2,519.3783783783783,37,11,19217.0,14.450000000000045,7.600000000000023,273,85.31
500191,HMT LTD.    ,26.25,26.25,24.95,25.4,25.14239621423962,4649,73,116887.0,1.3000000000000007,-0.8500000000000014,8442,100.0
500192,PRAG BOSIMI ,1.92,2.0,1.85,1.86,1.8627091633466135,12550,25,23377.0,0.1499999999999999,-0.05999999999999983,1634,100.0
500193,HLVLTD      ,5.9,5.99,5.3,5.78,5.851615138797983,51946,126,303968.0,0.6900000000000004,-0.1200000000000001,27017,61.23
500199,I.G.PETRO   ,468.0,474.0,450.0,453.7,460.29935552533556,16913,1070,7785043.0,24.0,-14.300000000000011,1959,49.04
500201,IND.GLYCOLS ,417.05,449.8,412.05,442.25,428.4917377711962,42543,1906,18229324.0,37.75,25.19999999999999,16688,46.89
500202,IND.LEAS.DEV,10.8,10.8,10.8,10.8,10.0,1,1,10.0,0.0,0.0,1,100.0
500206,MARGO FIN   ,7.15,7.2,7.15,7.2,7.177215189873418,474,3,3402.0,0.04999999999999982,0.04999999999999982,500,100.0
500207,INDO RAMA   ,32.45,33.0,32.45,32.5,32.60898472596586,5565,65,181469.0,0.5499999999999972,0.04999999999999716,12616,80.21
500209,INFOSYS LTD ,1287.0,1296.0,1282.65,1292.0,1289.4086775626283,113926,3935,146897173.0,13.349999999999909,5.0,40633,17.39
500210,INGERSOLL   ,739.5,782.4,738.95,759.3,768.6085762568653,4734,626,3638593.0,43.44999999999993,19.799999999999955,31098,30.96
500211,INSILCO LTD.,8.6,8.8,8.23,8.27,8.38424343779539,55012,90,461234.0,0.5700000000000003,-0.33000000000000007,10708,86.63
500212,INTEG.FIN.SE,28.35,29.9,28.35,29.0,28.43782383419689,386,5,10977.0,1.5499999999999972,0.6499999999999986,200,100.0
500213,INTER.TRAVEL,56.0,56.85,53.35,56.45,54.721607278241095,6595,88,360889.0,3.5,0.45000000000000284,1649,64.92
500214,ION EXCHANGE,1228.0,1240.85,1176.2,1182.1,1202.8883837548906,36294,1461,43657631.0,64.64999999999986,-45.90000000000009,70230,53.94
500215,AGRO TECH FO,826.2,844.0,826.05,832.25,835.1845493562232,233,84,194598.0,17.950000000000045,6.0499999999999545,241,42.28
500219,JAIN IRRIG  ,20.55,20.6,20.1,20.25,20.421685365888607,69789,234,1425209.0,0.5,-0.3000000000000007,83373,72.86
500220,JASCH INDUST,46.7,50.1,46.7,49.8,49.349540311173975,5656,61,279121.0,3.3999999999999986,3.0999999999999943,4228,89.01
500223,JCT LTD     ,0.89,0.97,0.89,0.92,0.9164164798344042,3661930,458,3355853.0,0.07999999999999996,0.030000000000000027,776278,59.5
500227,JINDAL POLYF,552.0,570.0,506.6,519.0,547.794834093593,86374,4426,47315231.0,63.39999999999998,-33.0,5962,30.33
500228,JSWSL       ,403.25,415.25,403.25,408.85,409.6775993728405,172205,1934,70548531.0,12.0,5.600000000000023,409984,69.79
500231,UMANG DAIR  ,60.1,60.95,59.5,60.5,60.0804884818207,3603,73,216470.0,1.4500000000000028,0.3999999999999986,3639,43.99
500233,KAJARIA CER.,925.0,960.0,921.55,949.8,946.9793879482595,19018,1110,18009654.0,38.450000000000045,24.799999999999955,4154,23.56
500234,KAKATIYA CEM,165.0,168.0,165.0,166.45,166.28135828135828,1443,147,239944.0,3.0,1.4499999999999886,1387,35.55
500235,KALYANI STEL,285.45,294.55,283.0,291.2,289.9585714285714,25200,1008,7306956.0,11.550000000000011,5.75,9272,44.06
500238,WHIRLPOOL   ,2485.0,2505.4,2448.9,2464.9,2475.887056697538,4427,627,10960752.0,56.5,-20.09999999999991,5855,100.0
500239,KG DENIM    ,29.2,29.3,28.05,29.2,29.0177482968806,5578,27,161861.0,1.25,0.0,5069,40.7
500240,KINETIC ENG.,33.85,35.5,32.2,35.5,34.79785888898255,11863,87,412807.0,3.299999999999997,1.6499999999999986,6196,89.22
500241,KIRL.BROS.  ,160.1,167.25,155.25,162.0,161.8123550495467,14229,307,2302428.0,12.0,1.9000000000000057,14513,100.0
500243,KIRL INDUS  ,936.9,999.0,936.9,992.65,969.3216400569672,13341,425,12931720.0,62.10000000000002,55.75,10679,61.14
500245,KIRL.FERROUS,154.0,159.05,154.0,158.6,157.6428820994604,25759,527,4060723.0,5.050000000000011,4.599999999999994,1460,38.83
500247,KOTAK MAH.BK,1936.0,1984.3,1936.0,1961.3,1964.913895155718,120121,8348,236027422.0,48.299999999999955,25.299999999999955,66622,70.75
500249,KSB         ,660.25,665.0,655.15,663.0,659.3162393162393,1404,90,925680.0,9.850000000000023,2.75,451,100.0
500250,L.G.BALKRISH,334.65,337.0,330.6,332.85,333.95686719636774,3524,135,1176864.0,6.399999999999977,-1.7999999999999545,34816,40.08
500251,TRENT LTD.  ,693.45,698.5,677.45,692.0,686.3274362160977,13679,767,9388273.0,21.049999999999955,-1.4500000000000455,130,100.0
500252,LAXMIMACH   ,6259.0,6324.7,6182.4,6274.0,6276.717633928572,896,394,5623939.0,142.30000000000018,15.0,1669,79.14
500253,LIC HOUS.FIN,439.2,443.1,433.65,434.35,436.5979160996851,102884,1769,44918940.0,9.450000000000045,-4.849999999999966,2290,67.47
500257,LUPIN LTD.  ,1065.0,1069.25,1053.25,1058.35,1060.0520810574612,73232,1928,77629734.0,16.0,-6.650000000000091,12381,64.88
500259,LYKA LABS   ,32.5,32.65,31.0,31.45,31.489895897121862,8165,49,257115.0,1.6499999999999986,-1.0500000000000007,683,63.24
500260,RAMCOCEM    ,934.7,949.95,921.95,941.5,940.5527222798218,35687,1550,33565505.0,28.0,6.7999999999999545,23691,15.47
500264,MAFATLAL IND,103.85,103.85,96.5,97.65,98.96543819432199,5671,63,561233.0,7.349999999999994,-6.199999999999989,18275,29.75
500265,MAH.SEAMLESS,288.65,295.0,288.65,290.6,292.1580619539317,2518,199,735654.0,6.350000000000023,1.9500000000000455,5640,100.0
500266,MAH.SCOOTER ,3913.45,3945.2,3869.9,3899.65,3895.6238095238095,210,96,818081.0,75.29999999999973,-13.799999999999727,23867,41.8
500267,MAJESTIC AUT,112.4,114.5,112.3,112.5,112.93815849748053,4366,48,493088.0,2.200000000000003,0.09999999999999432,5102,82.08
500268,MANALI PETRO,47.7,53.75,46.85,49.35,50.13872949023696,1734296,8172,86955398.0,6.899999999999999,1.6499999999999986,2441,68.82
500271,MFSL        ,784.8,830.9,777.95,818.1,804.9950795852321,121128,4384,97507444.0,52.94999999999993,33.30000000000007,171,50.74
500277,MID INDIA IN,1.43,1.43,1.43,1.43,1.4298418972332017,1012,2,1447.0,0.0,0.0,1938,78.78
500279,MIRC ELECT  ,13.27,13.84,13.05,13.84,13.632097438653053,61413,187,837188.0,0.7899999999999991,0.5700000000000003,131162,34.21
500280,CENTURY ENKA,247.6,252.0,246.25,247.4,248.5134168157424,2236,73,555676.0,5.75,-0.19999999999998863,45314,54.13
500284,LORDS CHLORO,31.1,32.65,30.05,32.6,32.48998822143699,849,13,27584.0,2.599999999999998,1.5,150,100.0
500285,SPICEJET LTD,87.85,89.55,87.0,87.7,88.00760334870144,285006,2142,25082695.0,2.549999999999997,-0.14999999999999147,416876,53.9
