DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
12022021,500840,12339,1213541,33827,3328550,36.48
12022021,500850,100178,12937989,258035,33436670,38.82
12022021,500870,23442,3024018,55553,7176361,42.2
12022021,500875,1046599,227582953,3410440,745241118,30.69
12022021,500877,101639,24342541,595502,142980404,17.07
12022021,500878,5588,9333078,18409,30457049,30.35
12022021,500890,2484,226472,2484,226472,100.0
12022021,500940,8607,5811017,20820,14152209,41.34
12022021,501148,253,66737,253,66737,100.0
12022021,501150,158851,3971275,274059,6746903,57.96
12022021,501242,3150,19877,3374,21584,93.36
12022021,501295,25,1438,50,2887,50.0
12022021,501298,257,286710,294,326206,87.41
12022021,501301,1901,2052035,3194,3462563,59.52
12022021,501314,775,28908,775,28907,100.0
12022021,501343,650,12805,664,13033,97.89
12022021,501370,148,7941,296,15848,50.0
12022021,501391,2,261,2,260,100.0
12022021,501423,1442,1362979,1519,1440119,94.93
12022021,501425,2006,2488644,3133,3909468,64.03
12022021,501430,705,331350,783,369508,90.04
12022021,501455,123714,11394060,309356,28513614,39.99
12022021,501700,1862,38916,2002,41692,93.01
12022021,501831,17403,3129060,22309,3965846,78.01
12022021,501848,30073,248704,32739,269492,91.86
12022021,501945,2000,3180,2000,3180,100.0
12022021,502015,6009,93440,6680,104154,89.96
12022021,502090,2696,1894210,6621,4640319,40.72
12022021,502137,7118,2853251,21557,8630941,33.02
12022021,502157,3137,836952,5467,1482700,57.38
12022021,502168,60478,10015157,87491,14640554,69.12
12022021,502175,125538,7733141,246487,15149286,50.93
12022021,502180,25917,1498003,46066,2678925,56.26
12022021,502219,20905,6233871,69876,21116155,29.92
12022021,502271,9,47,9,46,100.0
12022021,502281,31349,180257,50509,297639,62.07
12022021,502330,6837,1556102,8181,1862046,83.57
12022021,502355,6420,10628631,33239,55203987,19.31
12022021,502420,73867,1599221,129332,2776021,57.11
12022021,502445,277,2840,427,4420,64.87
12022021,502448,13336,46298,13336,46298,100.0
12022021,502450,2316,326093,3187,450725,72.67
12022021,502587,49830,4522073,60216,5350755,82.75
12022021,502589,102,3100,102,3100,100.0
12022021,502742,376847,1520051,376847,1520051,100.0
12022021,502820,38394,1261243,68312,2354118,56.2
12022021,502865,1884,2894955,2287,3457002,82.38
12022021,502873,507,18151,509,17779,99.61
12022021,502893,499,5924,499,5923,100.0
12022021,502937,31864,2123736,74244,5004999,42.92
12022021,502958,757,1481563,1028,2131677,73.64
12022021,502986,601,617828,876,899244,68.61
12022021,503015,113,5579,113,5579,100.0
12022021,503031,4607,27182,5943,35364,77.52
12022021,503092,130,907,130,907,100.0
12022021,503100,5615,4586052,8035,6624201,69.88
12022021,503101,701,54678,733,56332,95.63
12022021,503127,1,2547,1,2547,100.0
12022021,503162,1566,120034,2104,161362,74.43
12022021,503169,2365,451715,2750,525547,86.0
12022021,503229,6,324,6,304,100.0
12022021,503310,5879,870974,102814,14957237,5.72
12022021,503349,15,27570,39,71324,38.46
12022021,503624,6143,33361,6143,33361,100.0
12022021,503641,9062,40237,9062,40237,100.0
12022021,503657,8732,82954,10496,98472,83.19
12022021,503663,13635,26861,15126,27834,90.14
12022021,503669,1000,7840,1000,7840,100.0
12022021,503691,159,4738,159,4738,100.0
12022021,503722,2623,291416,3723,410102,70.45
12022021,503776,50,1050,81,1682,61.73
12022021,503804,1914,528934,2295,660393,83.4
12022021,503806,1598,8979802,5869,33254790,27.23
12022021,503811,4267,821611,6020,1165439,70.88
12022021,503816,26,166,26,166,100.0
12022021,503960,3013,3210503,7522,7994519,40.06
12022021,504000,8763,359722,11745,479004,74.61
12022021,504008,21469,30513,21469,30513,100.0
12022021,504028,6537,252329,8389,320536,77.92
12022021,504036,4605,665883,6282,906870,73.3
12022021,504058,1889,1324662,2191,1551236,86.22
12022021,504067,2005,458644,3411,785868,58.78
12022021,504076,150,1425,150,1420,100.0
12022021,504080,51,4482,51,4482,100.0
12022021,504092,4765,99827,5200,109409,91.63
12022021,504093,8172,1794163,11548,2554765,70.77
12022021,504112,7852,1751782,19775,4477862,39.71
12022021,504132,10433,1669802,13363,2139645,78.07
12022021,504176,920,805644,1621,1432416,56.76
