Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-September-2017,7.69,7.91,7.51,7.77,7.731456887317442761,114827,158,887780.00,73900,64.36,0.40,0.08
21-September-2017,7.95,7.95,7.50,7.68,7.649790726152833878,54713,117,418543.00,26866,49.10,0.45,-0.27
20-September-2017,7.83,7.84,7.63,7.67,7.720833202128664546,63514,103,490381.00,44361,69.84,0.21,-0.16
19-September-2017,7.81,7.95,7.65,7.79,7.748518300047751467,71202,122,551710.00,33276,46.73,0.30,-0.02
18-September-2017,8.00,8.05,7.75,7.92,7.973397527438899995,73527,130,586260.00,47780,64.98,0.30,-0.08
15-September-2017,7.70,8.19,7.70,8.00,8.009431120466200812,268897,380,2153712.00,134707,50.10,0.49,0.30
14-September-2017,7.84,7.90,7.37,7.61,7.556825022989342207,151157,279,1142267.00,83296,55.11,0.53,-0.23
13-September-2017,7.75,7.94,7.70,7.74,7.812268721626673787,52426,85,409566.00,33404,63.72,0.24,-0.01
12-September-2017,7.81,7.93,7.75,7.81,7.826378348880437933,58639,114,458931.00,33624,57.34,0.18,0.00
11-September-2017,7.85,8.10,7.85,7.86,7.952659510312386925,33164,57,263742.00,25181,75.93,0.25,0.01
8-September-2017,8.03,8.03,7.45,7.87,7.769339329282878055,125418,186,974415.00,60905,48.56,0.58,-0.16
7-September-2017,8.03,8.14,7.90,7.94,8.035197817189631650,43980,110,353388.00,23010,52.32,0.24,-0.09
6-September-2017,7.94,8.12,7.87,7.92,7.994700536515931238,45665,92,365078.00,26164,57.30,0.25,-0.02
5-September-2017,7.72,7.99,7.72,7.94,7.868832140185917298,46795,70,368222.00,21391,45.71,0.27,0.22
4-September-2017,7.92,8.02,7.70,7.76,7.794422908590721520,31988,85,249328.00,25388,79.37,0.32,-0.16
1-September-2017,8.81,8.95,7.94,8.02,8.269327417985200076,115406,212,954330.00,26825,23.24,1.01,-0.79
31-August-2017,7.96,8.09,7.93,8.02,8.006678334561532792,21712,82,173841.00,11825,54.46,0.16,0.06
30-August-2017,8.00,8.24,7.91,8.00,8.011756925563965023,27218,64,218064.00,20541,75.47,0.33,0.00
29-August-2017,8.09,8.09,7.80,7.97,7.978285318799204083,11559,48,92221.00,7428,64.26,0.29,-0.12
28-August-2017,8.19,8.20,8.00,8.00,8.077917659067710105,17634,47,142446.00,12594,71.42,0.20,-0.19
24-August-2017,8.22,8.39,8.03,8.10,8.168381462908524987,23132,51,188951.00,17552,75.88,0.36,-0.12
23-August-2017,8.30,8.38,8.11,8.16,8.221442083818393480,27488,82,225991.00,14076,51.21,0.27,-0.14
