Security Code,Security Name
506079,LAKSHMI PRECISION SCREWS LTD.
506087,ANUP MALLEABLE LTD.
506105,STANROSE MAFATLAL INVESTMENTS AND FINANCE LTD.
506107,PRECIOUS TRADING & INVESTMENTS LTD.
506109,GENESYS INTERNATIONAL CORPORATION LTD.
506120,ALNA TRADING & EXPORTS LTD.
506122,Pankaj Piyush Trade & Investment Ltd
506128,PARNAX LAB LTD.
506134,INTELLIVATE CAPITAL VENTURES LTD.
506146,VISAGAR POLYTEX LTD.
506161,ISHWARSHAKTI HOLDINGS & TRADERS LTD.
506162,TERRAFORM MAGNUM LTD.
506166,APIS INDIA LTD.
506178,KHATAU EXIM LTD.
506180,Emergent Industrial Solutions Ltd
506184,KANANI INDUSTRIES LTD.
506186,Galaxy Cloud Kitchens Ltd-$
506190,SARVAMANGAL MERCANTILE CO.LTD.
506194,Arihant Superstructures Limited
506196,VIKSIT ENGINEERING LTD.
506197,BLISS GVS PHARMA LTD.
506222,INEOS Styrolution India Ltd
506235,ALEMBIC LTD.
506248,AMINES & PLASTICIZERS LTD.
506260,ANUH PHARMA LTD.
506261,MODISON METALS LTD.-$
506285,BAYER CROPSCIENCE LTD.
506313,Sashwat Technocrats Limited
506365,CHEMO PHARMA LABORATORIES LTD.
506390,CLARIANT CHEMICALS (INDIA) LTD.
506395,COROMANDEL INTERNATIONAL LTD.
506401,DEEPAK NITRITE LTD.-$
506405,DHARAMSI MORARJI CHEMICAL CO.LTD.
506414,Fermenta Biotech Ltd
506480,GOCL Corporation Ltd-$
506520,JAYSHREE CHEMICALS LTD.
506522,J.L.MORISON (INDIA) LTD.
506525,KANORIA CHEMICALS & INDUSTRIES LTD.
506528,KELTECH ENERGIES LTD.
506530,KEMP & COMPANY LTD.
506532,NITTA GELATIN INDIA LTD.-$
506579,ORIENTAL CARBON & CHEMICALS LTD.-$
506590,PHILLIPS CARBON BLACK LTD.
506597,AMAL LTD.
506605,POLYCHEM LTD.
506618,PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$
506640,GUJCHEM DISTILLERS INDIA LTD.
506642,SADHANA NITROCHEM LTD.
506655,SUDARSHAN CHEMICAL INDUSTRIES LTD.
506685,ULTRAMARINE & PIGMENTS LTD.-$
506687,TRANSPEK INDUSTRY LTD.-$
506690,UNICHEM LABORATORIES LTD.
506734,MYSORE PETRO CHEMICALS LTD.-$
506767,ALKYL AMINES CHEMICALS LTD.-$
506808,TUTICORIN ALKALI CHEMICALS & FERTILISERS LTD.
506820,ASTRAZENECA PHARMA INDIA LTD.
506852,PUNJAB ALKALIES & CHEMICALS LTD.
506854,TANFAC INDUSTRIES LTD.-$
506858,GUJARAT PETROSYNTHESE LTD.
506863,SWADESHI INDUSTRIES LEASING CO.LTD.
506867,MASTER CHEMICALS LTD.
506879,GUJARAT THEMIS BIOSYN LTD.
506910,JAYSYNTH DYESTUFF (INDIA) LTD.
506919,MAKERS LABORATORIES LTD.-$
506935,CONTINENTAL CHEMICALS LTD.
506943,J.B.CHEMICALS & PHARMACEUTICALS LTD.
506945,INDO GULF INDUSTRIES LTD.
506947,ADVANCE PETROCHEMICALS LTD.
506975,RAJASTHAN PETRO SYNTHETICS LTD.
506981,BLUE CHIP TEX INDUSTRIES LTD.
507155,JAGATJIT INDUSTRIES LTD.
507180,KESAR ENTERPRISES LTD.-$
507205,TILAKNAGAR INDUSTRIES LTD.-$
507265,Emerald Leisures Ltd
507300,RAVALGAON SUGAR FARM LTD.
507315,SAKTHI SUGARS LTD.
507410,WALCHANDNAGAR INDUSTRIES LTD.
507435,KHODAY INDIA LTD.-$
507438,IFB AGRO INDUSTRIES LTD.
507442,DHARANI SUGARS & CHEMICALS LTD.
507450,THIRU AROORAN SUGARS LTD.
507474,KOTHARI FERMENTATION & BIOCHEM LTD.
507486,CAPROLACTAM CHEMICALS LTD.
507488,G.M.BREWERIES LTD.
507490,RANA SUGARS LTD.
507498,PICCADILY SUGAR & ALLIED INDUSTRIES LTD.
507508,RIGA SUGAR COMPANY LTD.-$
507514,SOM DISTILLERIES & BREWERIES LTD.
